Receptor	TF	Key
CFTR	NR3C2	CFTR_NR3C2
CFTR	JUND	CFTR_JUND
CFTR	MAF	CFTR_MAF
CFTR	NR3C1	CFTR_NR3C1
CFTR	GATA1	CFTR_GATA1
CFTR	HHEX	CFTR_HHEX
CFTR	TRAF6	CFTR_TRAF6
CFTR	FOXI1	CFTR_FOXI1
CFTR	ONECUT1	CFTR_ONECUT1
CFTR	CTCFL	CFTR_CTCFL
CFTR	CREM	CFTR_CREM
CFTR	FLI1	CFTR_FLI1
CFTR	NR1H4	CFTR_NR1H4
CFTR	SP1	CFTR_SP1
CFTR	SIN3A	CFTR_SIN3A
CFTR	CTCF	CFTR_CTCF
CFTR	SMAD3	CFTR_SMAD3
CFTR	MECP2	CFTR_MECP2
CFTR	ESR1	CFTR_ESR1
CFTR	SREBF1	CFTR_SREBF1
CFTR	NFIL3	CFTR_NFIL3
CFTR	ATF4	CFTR_ATF4
CFTR	TOP2B	CFTR_TOP2B
CFTR	ZNF143	CFTR_ZNF143
CFTR	RAD51	CFTR_RAD51
CFTR	KLF4	CFTR_KLF4
CFTR	LMO2	CFTR_LMO2
CFTR	WT1	CFTR_WT1
CFTR	NEUROG3	CFTR_NEUROG3
CFTR	PAX6	CFTR_PAX6
CFTR	GLI3	CFTR_GLI3
CFTR	STAT1	CFTR_STAT1
CFTR	MEF2D	CFTR_MEF2D
CFTR	ELF3	CFTR_ELF3
CFTR	SP100	CFTR_SP100
CFTR	ATM	CFTR_ATM
CFTR	IRF3	CFTR_IRF3
CFTR	CHD4	CFTR_CHD4
CFTR	NR1I3	CFTR_NR1I3
CFTR	ATF6	CFTR_ATF6
CFTR	NEUROD1	CFTR_NEUROD1
CFTR	NR1I2	CFTR_NR1I2
CFTR	SPDEF	CFTR_SPDEF
CFTR	SCAND1	CFTR_SCAND1
CFTR	CTNNB1	CFTR_CTNNB1
CFTR	PHOX2A	CFTR_PHOX2A
CFTR	MYC	CFTR_MYC
CFTR	EGR1	CFTR_EGR1
CFTR	HDAC1	CFTR_HDAC1
CFTR	BCL6	CFTR_BCL6
CFTR	HNF1B	CFTR_HNF1B
CFTR	FOXJ1	CFTR_FOXJ1
CFTR	ASCL1	CFTR_ASCL1
CFTR	TCF7L2	CFTR_TCF7L2
CFTR	PPARG	CFTR_PPARG
CFTR	SRSF1	CFTR_SRSF1
CFTR	STAT4	CFTR_STAT4
CFTR	JUN	CFTR_JUN
CFTR	PHOX2B	CFTR_PHOX2B
CFTR	NKX2-1	CFTR_NKX2-1
CFTR	CITED2	CFTR_CITED2
CFTR	SOX9	CFTR_SOX9
CFTR	NFE2L2	CFTR_NFE2L2
CFTR	FOS	CFTR_FOS
CFTR	USF2	CFTR_USF2
CFTR	XRCC6	CFTR_XRCC6
CFTR	TP53	CFTR_TP53
CFTR	BIN1	CFTR_BIN1
CFTR	CREB1	CFTR_CREB1
CFTR	TBP	CFTR_TBP
CFTR	TLX1	CFTR_TLX1
CFTR	YY1	CFTR_YY1
CFTR	BRCA2	CFTR_BRCA2
CFTR	UPF2	CFTR_UPF2
CFTR	HNRNPD	CFTR_HNRNPD
CFTR	JUNB	CFTR_JUNB
CFTR	HNF1A	CFTR_HNF1A
CFTR	TAL1	CFTR_TAL1
CFTR	CUX1	CFTR_CUX1
CFTR	HNF4A	CFTR_HNF4A
CFTR	XBP1	CFTR_XBP1
CFTR	EGF	CFTR_EGF
CFTR	POU5F1	CFTR_POU5F1
CFTR	PTF1A	CFTR_PTF1A
CFTR	TWIST1	CFTR_TWIST1
CFTR	TFAP2C	CFTR_TFAP2C
CFTR	UPF1	CFTR_UPF1
CFTR	NF1	CFTR_NF1
CFTR	SOX17	CFTR_SOX17
CFTR	SOX2	CFTR_SOX2
CFTR	EHF	CFTR_EHF
CFTR	HDAC7	CFTR_HDAC7
CFTR	EP300	CFTR_EP300
CFTR	FOXA1	CFTR_FOXA1
CFTR	ESR2	CFTR_ESR2
CFTR	FOXP2	CFTR_FOXP2
CFTR	MDM2	CFTR_MDM2
CFTR	STAT3	CFTR_STAT3
CFTR	CDX2	CFTR_CDX2
CFTR	DNMT1	CFTR_DNMT1
CFTR	IKBKB	CFTR_IKBKB
CFTR	UBP1	CFTR_UBP1
CFTR	TFAP2A	CFTR_TFAP2A
CFTR	PGR	CFTR_PGR
CFTR	HDAC9	CFTR_HDAC9
CFTR	RELA	CFTR_RELA
CFTR	CEBPB	CFTR_CEBPB
CFTR	BRCA1	CFTR_BRCA1
CFTR	AR	CFTR_AR
CFTR	SALL3	CFTR_SALL3
CFTR	NCOA2	CFTR_NCOA2
CFTR	CEBPD	CFTR_CEBPD
CFTR	GLI1	CFTR_GLI1
CFTR	FUS	CFTR_FUS
CFTR	HOXA7	CFTR_HOXA7
CFTR	DDIT3	CFTR_DDIT3
CFTR	TIAL1	CFTR_TIAL1
CFTR	FOXA3	CFTR_FOXA3
CFTR	FOXA2	CFTR_FOXA2
CFTR	CEBPZ	CFTR_CEBPZ
CFTR	HCFC1	CFTR_HCFC1
CFTR	SREBF2	CFTR_SREBF2
ITGA3	JUN	ITGA3_JUN
ITGA3	FOSL1	ITGA3_FOSL1
ITGA3	LMX1B	ITGA3_LMX1B
ITGA3	SOX9	ITGA3_SOX9
ITGA3	SRF	ITGA3_SRF
ITGA3	TSG101	ITGA3_TSG101
ITGA3	TP53	ITGA3_TP53
ITGA3	BIN1	ITGA3_BIN1
ITGA3	PAX2	ITGA3_PAX2
ITGA3	HOXC13	ITGA3_HOXC13
ITGA3	DLX3	ITGA3_DLX3
ITGA3	MYOD1	ITGA3_MYOD1
ITGA3	EGF	ITGA3_EGF
ITGA3	NR1H3	ITGA3_NR1H3
ITGA3	STAT5A	ITGA3_STAT5A
ITGA3	TFAP2C	ITGA3_TFAP2C
ITGA3	WT1	ITGA3_WT1
ITGA3	PAX6	ITGA3_PAX6
ITGA3	STAT1	ITGA3_STAT1
ITGA3	TEAD1	ITGA3_TEAD1
ITGA3	WWTR1	ITGA3_WWTR1
ITGA3	USF1	ITGA3_USF1
ITGA3	ABL1	ITGA3_ABL1
ITGA3	SIX1	ITGA3_SIX1
ITGA3	ETS1	ITGA3_ETS1
ITGA3	TEF	ITGA3_TEF
ITGA3	NOTCH3	ITGA3_NOTCH3
ITGA3	SNAI2	ITGA3_SNAI2
ITGA3	CTNNB1	ITGA3_CTNNB1
ITGA3	NR1H2	ITGA3_NR1H2
ITGA3	MYC	ITGA3_MYC
ITGA3	MEF2A	ITGA3_MEF2A
ITGA3	TIAL1	ITGA3_TIAL1
ITGA3	FHL2	ITGA3_FHL2
CD74	AIRE	CD74_AIRE
CD74	NKX2-3	CD74_NKX2-3
CD74	IFI16	CD74_IFI16
CD74	STAT2	CD74_STAT2
CD74	HOXA5	CD74_HOXA5
CD74	MXI1	CD74_MXI1
CD74	HOXC8	CD74_HOXC8
CD74	BATF	CD74_BATF
CD74	TNFAIP3	CD74_TNFAIP3
CD74	IRF9	CD74_IRF9
CD74	COPS5	CD74_COPS5
CD74	AHR	CD74_AHR
CD74	NFKBIA	CD74_NFKBIA
CD74	ATF3	CD74_ATF3
CD74	IRF1	CD74_IRF1
CD74	HOXB7	CD74_HOXB7
CD74	IRF4	CD74_IRF4
CD74	GATA3	CD74_GATA3
CD74	ATF5	CD74_ATF5
CD74	TSC22D3	CD74_TSC22D3
CD74	STAT1	CD74_STAT1
CD74	PITX1	CD74_PITX1
CD74	RUNX3	CD74_RUNX3
CD74	HOXA1	CD74_HOXA1
CD74	HOXC6	CD74_HOXC6
CD74	HOXA4	CD74_HOXA4
CD74	FOXO1	CD74_FOXO1
CD74	POU2AF1	CD74_POU2AF1
CD74	HOXB4	CD74_HOXB4
CD74	PDX1	CD74_PDX1
CD74	REL	CD74_REL
CD74	ZEB2	CD74_ZEB2
CD74	NFE2L1	CD74_NFE2L1
CD74	SIRT1	CD74_SIRT1
CD74	MYC	CD74_MYC
CD74	EGR1	CD74_EGR1
CD74	SPIB	CD74_SPIB
CD74	BCL6	CD74_BCL6
CD74	APEX1	CD74_APEX1
CD74	HOXD3	CD74_HOXD3
CD74	PRDM1	CD74_PRDM1
CD74	FHL2	CD74_FHL2
CD74	STAT4	CD74_STAT4
CD74	UBTF	CD74_UBTF
CD74	JUN	CD74_JUN
CD74	TBX21	CD74_TBX21
CD74	PHOX2B	CD74_PHOX2B
CD74	NKX2-1	CD74_NKX2-1
CD74	FOS	CD74_FOS
CD74	FOXP3	CD74_FOXP3
CD74	PIR	CD74_PIR
CD74	NFKB2	CD74_NFKB2
CD74	IRF2	CD74_IRF2
CD74	HOXD1	CD74_HOXD1
CD74	TP53	CD74_TP53
CD74	TBP	CD74_TBP
CD74	NKX2-5	CD74_NKX2-5
CD74	ETV6	CD74_ETV6
CD74	NFKB1	CD74_NFKB1
