TF	Targets	Key
AATF	BAX	AATF_BAX
AATF	CDKN1A	AATF_CDKN1A
AATF	KLK3	AATF_KLK3
AATF	MYC	AATF_MYC
AATF	TP53	AATF_TP53
ABL1	BAX	ABL1_BAX
ABL1	BCL2	ABL1_BCL2
ABL1	BCL6	ABL1_BCL6
ABL1	CCND2	ABL1_CCND2
ABL1	CDKN1A	ABL1_CDKN1A
ABL1	CSF1	ABL1_CSF1
ABL1	FOXO3	ABL1_FOXO3
ABL1	JUN	ABL1_JUN
ABL1	PIM1	ABL1_PIM1
ABL1	TP53	ABL1_TP53
AES	EPHA3	AES_EPHA3
AES	LEF1	AES_LEF1
AES	RND3	AES_RND3
AHR	ABCG2	AHR_ABCG2
AHR	AHRR	AHR_AHRR
AHR	ARNT	AHR_ARNT
AHR	BRCA1	AHR_BRCA1
AHR	CA9	AHR_CA9
AHR	CCND1	AHR_CCND1
AHR	CCNG2	AHR_CCNG2
AHR	CYP1A1	AHR_CYP1A1
AHR	CYP1A2	AHR_CYP1A2
AHR	CYP1B1	AHR_CYP1B1
AHR	CYP2B6	AHR_CYP2B6
AHR	FOS	AHR_FOS
AHR	IL13	AHR_IL13
AHR	IL1B	AHR_IL1B
AHR	IL6	AHR_IL6
AHR	MFSD2A	AHR_MFSD2A
AHR	MT2A	AHR_MT2A
AHR	MYC	AHR_MYC
AHR	PCNA	AHR_PCNA
AHR	RFC3	AHR_RFC3
AHR	UGT1A1	AHR_UGT1A1
AHR	UGT1A6	AHR_UGT1A6
AIP	AHR	AIP_AHR
AIP	GREB1	AIP_GREB1
AIP	NFKB2	AIP_NFKB2
AIP	RSF1	AIP_RSF1
AIP	TFF1	AIP_TFF1
AIRE	CHRNA1	AIRE_CHRNA1
ANKRD1	NPPA	ANKRD1_NPPA
APBB1	GMPS	APBB1_GMPS
APC	AKT1	APC_AKT1
APC	AMHR2	APC_AMHR2
APC	BIRC5	APC_BIRC5
APC	DLG1	APC_DLG1
APC	DNMT1	APC_DNMT1
APC	F8	APC_F8
APC	KLF4	APC_KLF4
APC	MYC	APC_MYC
APC	NOS2	APC_NOS2
APC	ODC1	APC_ODC1
APC	PTGS2	APC_PTGS2
APC	SGK1	APC_SGK1
APEX1	CCL2	APEX1_CCL2
APEX1	CD19	APEX1_CD19
APEX1	CYP11B2	APEX1_CYP11B2
APEX1	NFKB1	APEX1_NFKB1
APEX1	PTH	APEX1_PTH
APEX1	RELA	APEX1_RELA
APEX1	SLC5A5	APEX1_SLC5A5
AR	ACTA1	AR_ACTA1
AR	AKR1C3	AR_AKR1C3
AR	AKT1	AR_AKT1
AR	ALDH1A3	AR_ALDH1A3
AR	ARG1	AR_ARG1
AR	ARG2	AR_ARG2
AR	ATAD2	AR_ATAD2
AR	BSG	AR_BSG
AR	BTG1	AR_BTG1
AR	BTG2	AR_BTG2
AR	CDK20	AR_CDK20
AR	CDC6	AR_CDC6
AR	CDH1	AR_CDH1
AR	CDH11	AR_CDH11
AR	CDH2	AR_CDH2
AR	CDK6	AR_CDK6
AR	CDKN1A	AR_CDKN1A
AR	CLK3	AR_CLK3
AR	CRH	AR_CRH
AR	CRISP1	AR_CRISP1
